rank,prev_rank,name,league,off,def,spi
54,50,Club Brugge,Belgian Jupiler League,1.94,0.91,68.84
55,49,Crystal Palace,Barclays Premier League,1.76,0.77,68.75
56,60,Stade Rennes,French Ligue 1,1.72,0.75,68.66
57,55,Young Boys,Swiss Raiffeisen Super League,2.09,1.04,68.39
58,52,Hertha Berlin,German Bundesliga,1.94,0.92,68.37
59,67,Levante,Spanish Primera Division,1.94,0.95,67.72
60,51,Osasuna,Spanish Primera Division,1.74,0.81,67.33
61,64,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
62,62,AS Monaco,French Ligue 1,1.95,0.99,66.95
63,59,Sheffield United,Barclays Premier League,1.67,0.77,66.93
64,70,Sassuolo,Italy Serie A,1.97,1.02,66.58
65,63,Valencia,Spanish Primera Division,1.84,0.94,66.23
66,61,CSKA Moscow,Russian Premier Liga,1.71,0.84,66.12
67,65,Eibar,Spanish Primera Division,1.66,0.81,65.76
68,69,River Plate,Argentina Primera Division,1.74,0.88,65.48
69,71,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
70,68,Palmeiras,Brasileiro Série A,1.59,0.77,65.29
71,73,Real Valladolid,Spanish Primera Division,1.57,0.76,65.2
72,72,Marseille,French Ligue 1,1.73,0.89,65.03
73,74,FC Krasnodar,Russian Premier Liga,1.72,0.9,64.82
74,78,SC Freiburg,German Bundesliga,1.9,1.05,64.77
75,66,Grêmio,Brasileiro Série A,1.67,0.86,64.7
76,83,FC Cologne,German Bundesliga,1.88,1.05,64.39
77,86,Werder Bremen,German Bundesliga,1.83,1.01,64.29
78,82,Leeds United,Barclays Premier League,1.8,0.98,64.26
79,75,Newcastle,Barclays Premier League,1.7,0.9,64.22
80,87,FC Augsburg,German Bundesliga,1.75,0.96,63.91
81,76,Cadiz,Spanish Primera Division,1.67,0.9,63.74
82,91,SD Huesca,Spanish Primera Division,1.65,0.88,63.7
83,81,Watford,English League Championship,1.72,0.94,63.68
84,77,PSV,Dutch Eredivisie,1.91,1.1,63.67
85,96,VfB Stuttgart,German Bundesliga,1.77,0.99,63.58
86,84,AFC Bournemouth,English League Championship,1.78,1.0,63.38
87,85,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
88,89,Alavés,Spanish Primera Division,1.6,0.88,62.87
89,92,Brentford,English League Championship,1.63,0.92,62.33
90,80,Kawasaki Frontale,Japanese J League,2.0,1.24,62.27
91,90,Montpellier,French Ligue 1,1.7,0.99,62.19
92,97,Espanyol,Spanish Segunda Division,1.69,0.98,62.03
93,94,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
94,99,1. FC Union Berlin,German Bundesliga,1.67,0.98,61.78
95,105,Spartak Moscow,Russian Premier Liga,1.58,0.91,61.67
96,98,Udinese,Italy Serie A,1.59,0.92,61.49
97,79,Mainz,German Bundesliga,1.84,1.14,61.42
98,119,Rangers,Scottish Premiership,1.73,1.05,61.23
99,104,Lens,French Ligue 1,1.64,0.98,61.16
100,113,Sporting CP,Portuguese Liga,1.57,0.93,60.73
